,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
67,122.03623342514038,0.1968355025332061,1.097282075881958,0.02639436080996562,True,20,9,4,32,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 32, 'n_estimators': 100}",-109.31993766480096,-104.13047716764825,-104.39031199206217,-104.80633249279224,-102.07589320989072,-104.94459050543887,2.3816887879672204,61,-80.69272782266279,-82.1679710906496,-82.21618234486667,-84.8662762795086,-82.80259906913226,-82.54915132136398,1.3517232517518227
68,122.24930377006531,0.37501548926489475,1.2659661769866943,0.05396828748226253,True,20,9,8,4,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-109.34427420935427,-104.0788193823953,-104.18054487119254,-104.14468168279565,-101.33434564736139,-104.61653315861983,2.6010058057994927,43,-76.31782364842263,-77.8664181687711,-77.80003671915857,-80.86667652287126,-78.64160428059067,-78.29851186796284,1.4880517706185938
69,121.97614512443542,0.2441468814044767,1.2855443954467773,0.038652483187463185,True,20,9,8,8,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 100}",-109.35417916743575,-104.00056967932821,-104.15446738049334,-104.04054054326475,-101.29205701247255,-104.56836275659892,2.6233761719234088,40,-76.39530803553404,-77.9417608996564,-77.81345873337357,-80.81577154209097,-78.6572142005019,-78.32470268223138,1.4454457071183617
70,122.34843459129334,0.23378106360188666,1.242437982559204,0.04309113990734656,True,20,9,8,16,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 100}",-109.33826067416588,-103.93808282737533,-104.20254145615516,-104.07210674286154,-101.35882217345815,-104.5819627748032,2.60113437332916,41,-76.40639498533275,-77.82769685767352,-77.70122726297214,-80.79433853425681,-78.58603298228626,-78.26313812450431,1.4466571536850688
71,118.27902874946594,0.2921147259256589,1.051869773864746,0.016825642244504876,True,20,9,8,32,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 8, 'min_samples_split': 32, 'n_estimators': 100}",-109.35461361043541,-104.03085901086072,-104.25777165746365,-105.21461931020195,-102.24352358854641,-105.02027743550164,2.370441505236627,63,-82.87206172257027,-84.26404199784166,-84.28273221138234,-86.84428651308473,-85.06340209375234,-84.66530490772627,1.2984249780374508
72,114.60180206298828,0.44341516000077336,0.9933583736419678,0.018834675735909023,True,20,9,16,4,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}",-109.24167152647544,-104.04834839613332,-104.05675098235477,-106.03751477801312,-102.8695964878968,-105.2507764341747,2.2399887840002064,88,-86.67305463325916,-88.10262354481827,-88.16193606720383,-90.3211105701156,-88.74005403228377,-88.39975576953613,1.1776034783527272
73,114.44303650856018,0.19076830481770315,1.0278700828552245,0.06007571717122621,True,20,9,16,8,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 16, 'min_samples_split': 8, 'n_estimators': 100}",-109.25140766646,-104.06672581210493,-104.22195865535132,-105.97936113962034,-102.84537219636518,-105.27296509398033,2.226200156838775,90,-86.69717761785495,-88.14965910099819,-88.13014349079737,-90.33858747382095,-88.68966214342575,-88.40104596537944,1.1727844855025868
74,114.84435482025147,0.4705814039238511,0.9881553649902344,0.03362584376350855,True,20,9,16,16,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 16, 'min_samples_split': 16, 'n_estimators': 100}",-109.3394040427901,-104.01924767333166,-104.13920862889903,-106.03995152808122,-102.9071918580117,-105.28900074622274,2.2617251071142457,92,-86.75461772810695,-88.11010582602762,-88.18212054729943,-90.32893160733158,-88.72498413171569,-88.42015196809625,1.1543963124690932
75,115.63863110542297,0.38080754404042055,1.06106858253479,0.022163048536477166,True,20,9,16,32,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 16, 'min_samples_split': 32, 'n_estimators': 100}",-109.26078733149905,-103.99497898292552,-104.10668699554525,-106.12213481867317,-102.88177691458279,-105.27327300864515,2.2510019528003697,91,-86.71111421641825,-88.14113299132954,-88.13495230078395,-90.36287267991337,-88.75137849522348,-88.42029013673371,1.180158900931114
76,106.20125994682311,0.866069809718049,0.8443022251129151,0.035133782913061386,True,20,9,32,4,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 32, 'min_samples_split': 4, 'n_estimators': 100}",-109.40876820004308,-104.2142470537165,-104.17295824034514,-107.81961053599696,-104.31741533180352,-105.98659987238105,2.2039905476007773,127,-94.73708511210104,-96.21791345055844,-96.23677999278375,-97.37289458682834,-96.36561972897475,-96.18605857424927,0.8418946986997333
