,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25,53.38194150924683,1.0342054086712476,0.34824347496032715,0.05091110499775076,0.4,6,5,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-110.01282123975652,-105.30250809143953,-104.8579017986558,-107.9598434473868,-105.23449709502977,-106.67351433445367,2.0026228206265864,4
26,55.6118405342102,0.7588679884911953,0.31853256225585935,0.03309099797403355,0.4,6,7,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-110.52045237058832,-105.72243395285967,-105.19082603988323,-108.06082068062733,-105.62295535868473,-107.02349768052866,2.015822515601104,35
27,53.38337669372559,0.41917650384090716,0.33863377571105957,0.008162088969702233,0.4,6,7,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-109.99635228002096,-105.14287316620762,-104.66798029301276,-107.82412967837652,-105.19196769767954,-106.56466062305947,2.042837812651594,1
28,55.38204908370972,0.4551663669265417,0.3339223384857178,0.019923757067797813,0.4,6,9,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-110.54244706851024,-105.52877695863488,-105.36800638885806,-108.0036205856256,-105.50599735126511,-106.98976967057877,2.0305470451859295,31
29,52.46835112571716,0.42543442537267484,0.33394293785095214,0.02264025441887703,0.4,6,9,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-110.14898033053782,-105.28228049655627,-104.88439086278244,-107.9511290395375,-105.12599207560893,-106.67855456100457,2.061181978156263,5
30,55.233875036239624,0.2958104900598507,0.3391421318054199,0.01765517083352373,0.4,6,11,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-110.62953664313378,-105.67652535594404,-105.09448741438841,-108.33754384169012,-105.57202987717824,-107.06202462646692,2.1149461704689783,37
31,52.106336450576784,0.39698756361110005,0.3153239250183105,0.012089724592805409,0.4,6,11,100,1,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-110.13188677283735,-105.261738169301,-104.91193417415212,-108.00582020479541,-105.21608075424784,-106.70549201506674,2.0469809592082076,7
32,76.2858464717865,0.9906636739220571,0.5245928764343262,0.02791127383676872,0.4,8,5,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-112.33233060478413,-107.09336299053496,-107.464432632967,-107.07965578568103,-105.15220586057673,-107.82439757490879,2.395023816816274,71
33,72.78464951515198,0.4337079821355673,0.5419195175170899,0.018522391446371057,0.4,8,5,100,1,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-111.52728546917172,-106.6228908633767,-106.30618634183006,-106.09197853741577,-104.1427921974227,-106.93822668184339,2.453118916889401,28
34,76.09402074813843,0.9366757542010382,0.4967797756195068,0.037205096219124247,0.4,8,7,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-112.23957512399603,-107.23821445134544,-107.06159093362325,-106.98499205933605,-104.88200492259968,-107.6812754981801,2.436355225003315,64
